episode,win_rate,loss_rate,draw_rate,avg_reward,avg_loss
500,0.5140,0.4840,0.0020,-0.3495,0.457489
1000,0.5020,0.4960,0.0020,-0.4840,0.490691
1500,0.5100,0.4900,0.0000,-0.4061,0.450920
2000,0.5560,0.4440,0.0000,0.1051,0.415601
2500,0.5160,0.4820,0.0020,-0.3236,0.388579
3000,0.5920,0.4040,0.0040,0.5236,0.366638
3500,0.5660,0.4320,0.0020,0.2308,0.343310
4000,0.5580,0.4320,0.0100,0.1888,0.322778
4500,0.5900,0.4100,0.0000,0.4953,0.304156
5000,0.5840,0.4100,0.0060,0.4530,0.292077
5500,0.5980,0.3980,0.0040,0.6020,0.276167
6000,0.5840,0.4140,0.0020,0.4286,0.259743
6500,0.6300,0.3680,0.0020,0.9427,0.242805
7000,0.5900,0.4060,0.0040,0.5084,0.229172
7500,0.6300,0.3680,0.0020,0.9423,0.214230
8000,0.6780,0.3180,0.0040,1.4869,0.199110
8500,0.6560,0.3420,0.0020,1.2424,0.185341
9000,0.6820,0.3180,0.0000,1.5156,0.172161
9500,0.6600,0.3400,0.0000,1.2723,0.161529
10000,0.6520,0.3440,0.0040,1.1996,0.154042
10500,0.6840,0.3160,0.0000,1.5354,0.142849
11000,0.6900,0.3080,0.0020,1.6149,0.135583
11500,0.6800,0.3160,0.0040,1.5120,0.128169
12000,0.6760,0.3200,0.0040,1.4693,0.120128
12500,0.6800,0.3160,0.0040,1.5147,0.114799
13000,0.7340,0.2660,0.0000,2.1019,0.109146
13500,0.7120,0.2860,0.0020,1.8606,0.100977
14000,0.7240,0.2760,0.0000,1.9796,0.096478
14500,0.7480,0.2500,0.0020,2.2626,0.090311
15000,0.7280,0.2720,0.0000,2.0286,0.085535
15500,0.7740,0.2260,0.0000,2.5391,0.079999
16000,0.7620,0.2360,0.0020,2.4197,0.075022
16500,0.7860,0.2140,0.0000,2.6800,0.069099
17000,0.7920,0.2080,0.0000,2.7447,0.064822
17500,0.7420,0.2580,0.0000,2.1902,0.062643
18000,0.7560,0.2440,0.0000,2.3380,0.060733
18500,0.7980,0.2000,0.0020,2.8220,0.060136
19000,0.7720,0.2280,0.0000,2.5190,0.058982
19500,0.7920,0.2080,0.0000,2.7449,0.057107
20000,0.8100,0.1900,0.0000,2.9465,0.056957
20500,0.8140,0.1860,0.0000,2.9923,0.054816
21000,0.7760,0.2200,0.0040,2.5876,0.052995
21500,0.8100,0.1880,0.0020,2.9583,0.052445
22000,0.7980,0.2020,0.0000,2.8036,0.051787
22500,0.8300,0.1700,0.0000,3.1652,0.051317
23000,0.7840,0.2160,0.0000,2.6572,0.049567
23500,0.7940,0.2060,0.0000,2.7769,0.049029
24000,0.7900,0.2100,0.0000,2.7268,0.048493
24500,0.8120,0.1880,0.0000,2.9712,0.048272
25000,0.7820,0.2180,0.0000,2.6376,0.047298
